id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16240,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:42:46","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21F73,,no,,,no
16241,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:43:06","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21E73,,no,,,no
16242,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:43:16","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21E74,,no,,,no
16243,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:43:46","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21D74,,no,,,no
16244,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:43:59","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21C74,,no,,,no
16245,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:44:16","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,720,60, 21A73,,no,,,no
16246,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:44:31","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,480,40, 22A74,,no,,,no
16247,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:44:49","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,456,38, 22A73,,no,,,no
16248,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:45:41","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21F72,,no,,,no
16249,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:46:00","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1296,108, 22F72,,no,,,no
16250,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:46:19","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21E72,,no,,,no
16251,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:46:36","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 22D72,,no,,,no
16252,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:46:56","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21D72,,no,,,no
16253,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:47:13","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 22C72,,no,,,no
16254,"AEROSOL AA/AA. 05.03.23","2023-03-05 08:47:27","27 - Jesús Víctor Gil",si,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",17501476279803,12,1200,100, 21C72,,no,,,no
