id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16131,"Aerosoles AW-PW-MA-IA","2023-02-26 07:48:48","35 - ISAU ROSALES MARTINEZ",si,AA8020501,"AEROSOL DESINFECTANTE POWER KLIN",17501476227316,12,900,75, 20A11,,no,,,no
16132,"Aerosoles AW-PW-MA-IA","2023-02-26 07:49:59","35 - ISAU ROSALES MARTINEZ",si,AW75105,"AEROSOL ACUARIO NEGRO SATINADO 400 ML.",27501476275109,6,312,52, 19A17,,no,,,no
16133,"Aerosoles AW-PW-MA-IA","2023-02-26 07:51:00","35 - ISAU ROSALES MARTINEZ",si,AW75105,"AEROSOL ACUARIO NEGRO SATINADO 400 ML.",27501476275109,6,1014,169, 20A17,,no,,,no
16134,"Aerosoles AW-PW-MA-IA","2023-02-26 07:51:49","35 - ISAU ROSALES MARTINEZ",si,AW76005,"AEROSOL ACUARIO GRIS ACERO 400 ML.",27501476276007,6,7200,1200, 20A18,,no,,,no
16135,"Aerosoles AW-PW-MA-IA","2023-02-26 07:53:10","35 - ISAU ROSALES MARTINEZ",si,AW76005,"AEROSOL ACUARIO GRIS ACERO 400 ML.",27501476276007,6,798,133, 19A18,,no,,,no
16136,"Aerosoles AW-PW-MA-IA","2023-02-26 07:54:30","35 - ISAU ROSALES MARTINEZ",si,AW76505,"AEROSOL ACUARIO ROSA FLUORESCENTE 400 ML.",27501476276502,6,444,74, 19A19,,no,,,no
16137,"Aerosoles AW-PW-MA-IA","2023-02-26 07:55:33","35 - ISAU ROSALES MARTINEZ",si,AW77905,"AEROSOL ACUARIO AZUL METALICO 400 ML.",27501476277905,6,876,146, 19A20,,no,,,no
16138,"Aerosoles AW-PW-MA-IA","2023-02-26 07:56:27","35 - ISAU ROSALES MARTINEZ",si,AW78605,"AEROSOL ACUARIO ORO RICO NIQUELADO 400 ML.",27501476278605,6,420,70, 19A21,,no,,,no
16139,"Aerosoles AW-PW-MA-IA","2023-02-26 07:57:34","35 - ISAU ROSALES MARTINEZ",si,AW78605,"AEROSOL ACUARIO ORO RICO NIQUELADO 400 ML.",27501476278605,6,1284,214, 20A21,,no,,,no
16140,"Aerosoles AW-PW-MA-IA","2023-02-26 08:00:29","35 - ISAU ROSALES MARTINEZ",si,AW79305,"AEROSOL ACUARIO ORO PALIDO NIQUELADO 400 ML.",27501476279305,6,972,162, 20A22,,no,,,no
16141,"Aerosoles AW-PW-MA-IA","2023-02-26 08:02:21","35 - ISAU ROSALES MARTINEZ",si,AM80005,"SPRAY MASTER BLANCO 400 ML.",17501476280014,12,1200,100, 19A26,,no,,,no
16142,"Aerosoles AW-PW-MA-IA","2023-02-26 08:02:50","35 - ISAU ROSALES MARTINEZ",si,AM80005,"SPRAY MASTER BLANCO 400 ML.",17501476280014,12,1200,100, 20A26,,no,,,no
16143,"Aerosoles AW-PW-MA-IA","2023-02-26 08:03:44","35 - ISAU ROSALES MARTINEZ",si,AM80305,"SPRAY MASTER NEGRO MATE 400 ML.",17501476280311,12,924,77, 19A28,,no,,,no
16144,"Aerosoles AW-PW-MA-IA","2023-02-26 08:04:41","35 - ISAU ROSALES MARTINEZ",si,AM80405,"SPRAY MASTER VIOLETA 400 ML.",17501476280410,12,348,29, 20A29,,no,,,no
16145,"Aerosoles AW-PW-MA-IA","2023-02-26 08:05:27","35 - ISAU ROSALES MARTINEZ",si,AM81305,"SPRAY MASTER AZUL REY 400 ML",17501476281318,12,720,60, 19A32,,no,,,no
16146,"Aerosoles AW-PW-MA-IA","2023-02-26 08:09:15","35 - ISAU ROSALES MARTINEZ",si,AM81305,"SPRAY MASTER AZUL REY 400 ML",17501476281318,12,720,60, 20A32,,no,,,no
16147,"Aerosoles AW-PW-MA-IA","2023-02-26 08:09:58","35 - ISAU ROSALES MARTINEZ",si,AM81605,"SPRAY MASTER PRIMER GRIS 400 ML.",17501476281615,12,120,10, 20A33,,no,,,no
16148,"Aerosoles AW-PW-MA-IA","2023-02-26 08:10:33","35 - ISAU ROSALES MARTINEZ",si,AM82205,"SPRAY MASTER AMARILLO CROMO 400 ML.",17501476282216,12,1008,84, 19A34,,no,,,no
16149,"Aerosoles AW-PW-MA-IA","2023-02-26 08:11:13","35 - ISAU ROSALES MARTINEZ",si,AM82505,"SPRAY MASTER GRIS MAQUINARIA 400 ML.",17501476282513,12,1020,85, 19A35,,no,,,no
16150,"Aerosoles AW-PW-MA-IA","2023-02-26 08:12:28","35 - ISAU ROSALES MARTINEZ",si,AM84005,"SPRAY MASTER CAFÉ 400 ML.",17501476284012,12,432,36, 19A36,,no,,,no
16151,"Aerosoles AW-PW-MA-IA","2023-02-26 08:13:35","35 - ISAU ROSALES MARTINEZ",si,AM84605,"SPRAY MASTER ROJO TOMATE 400 ML.",17501476284616,12,60,5, 19A37,,no,,,no
16152,"Aerosoles AW-PW-MA-IA","2023-02-26 08:14:11","35 - ISAU ROSALES MARTINEZ",si,AM85305,"SPRAY MASTER ROSA MEXICANO 400 ML.",17501476285316,12,12,1, 20A38,,no,,,no
16153,"Aerosoles AW-PW-MA-IA","2023-02-26 08:14:46","35 - ISAU ROSALES MARTINEZ",si,AM85705,"SPRAY MASTER VERDE FLOURESCENTE 400 ML.",17501476285712,12,1200,100, 20A39,,no,,,no
16154,"Aerosoles AW-PW-MA-IA","2023-02-26 08:15:12","35 - ISAU ROSALES MARTINEZ",si,AM85705,"SPRAY MASTER VERDE FLOURESCENTE 400 ML.",17501476285712,12,276,23, 19A39,,no,,,no
16155,"Aerosoles AW-PW-MA-IA","2023-02-26 08:15:44","35 - ISAU ROSALES MARTINEZ",si,AM86505,"SPRAY MASTER ROSA FLOURESCENTE 400 ML.",17501476286511,12,324,27, 19A40,,no,,,no
16156,"Aerosoles AW-PW-MA-IA","2023-02-26 08:23:56","35 - ISAU ROSALES MARTINEZ",si,AA8020501,"AEROSOL DESINFECTANTE POWER KLIN",17501476227316,12,936,78, 19B11,,no,,,no
16157,"Aerosoles AW-PW-MA-IA","2023-02-26 08:25:01","35 - ISAU ROSALES MARTINEZ",si,AA8020501,"AEROSOL DESINFECTANTE POWER KLIN",17501476227316,12,1140,95, 20B11,,no,,,no
16158,"Aerosoles AW-PW-MA-IA","2023-02-26 08:26:04","35 - ISAU ROSALES MARTINEZ",si,AA8020501,"AEROSOL DESINFECTANTE POWER KLIN",17501476227316,12,1200,100, 19C11,,no,,,no
