id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16570,"Aerosoles Acuario-Grangier","2023-03-12 08:04:02","35 - ISAU ROSALES MARTINEZ",si,AA73105,"AEROSOL ACUARIO CHOCOLATE 400 ML.",17501476273108,12,1092,91, 22A1,,no,,,no
16571,"Aerosoles Acuario-Grangier","2023-03-12 08:04:45","35 - ISAU ROSALES MARTINEZ",si,AA73105,"AEROSOL ACUARIO CHOCOLATE 400 ML.",17501476273108,12,720,60, 21A1,,no,,,no
16572,"Aerosoles Acuario-Grangier","2023-03-12 08:05:31","35 - ISAU ROSALES MARTINEZ",si,AA73205,"AEROSOL ACUARIO PLATINO 400 ML.",17501476216525,12,1032,86, 22A2,,no,,,no
16573,"Aerosoles Acuario-Grangier","2023-03-12 08:08:20","35 - ISAU ROSALES MARTINEZ",si,AA73305,"AEROSOL ACUARIO 24 KILATES 400 ML.",17501476216532,12,900,75, 22A3,,no,,,no
16574,"Aerosoles Acuario-Grangier","2023-03-12 08:09:17","35 - ISAU ROSALES MARTINEZ",si,AA73305,"AEROSOL ACUARIO 24 KILATES 400 ML.",17501476216532,12,720,60, 21A3,,no,,,no
16575,"Aerosoles Acuario-Grangier","2023-03-12 08:10:54","35 - ISAU ROSALES MARTINEZ",si,AA73805,"AEROSOL ACUARIO ROJO TOMATE 400 ML.",17501476273801,12,636,53, 22A4,,no,,,no
16576,"Aerosoles Acuario-Grangier","2023-03-12 08:11:21","35 - ISAU ROSALES MARTINEZ",si,AA74505,"AEROSOL ACUARIO AZUL ESPANOL 400 ML.",17501476274501,12,276,23, 22A5,,no,,,no
16577,"Aerosoles Acuario-Grangier","2023-03-12 08:11:47","35 - ISAU ROSALES MARTINEZ",si,AA74505,"AEROSOL ACUARIO AZUL ESPANOL 400 ML.",17501476274501,12,720,60, 21A6,,no,,,no
16578,"Aerosoles Acuario-Grangier","2023-03-12 08:12:28","35 - ISAU ROSALES MARTINEZ",si,AA74605,"AEROSOL ACUARIO ALTA TEMPERATURA NEGRO 400 ML.",17501476274600,12,900,75, 22A7,,no,,,no
16579,"Aerosoles Acuario-Grangier","2023-03-12 08:13:12","35 - ISAU ROSALES MARTINEZ",si,AA74605,"AEROSOL ACUARIO ALTA TEMPERATURA NEGRO 400 ML.",17501476274600,12,792,66, 21A7,,no,,,no
16580,"Aerosoles Acuario-Grangier","2023-03-12 08:13:59","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1164,97, 22A8,,no,,,no
16581,"Aerosoles Acuario-Grangier","2023-03-12 08:14:19","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1200,100, 22A9,,no,,,no
16582,"Aerosoles Acuario-Grangier","2023-03-12 08:14:45","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1200,100, 21A9,,no,,,no
16583,"Aerosoles Acuario-Grangier","2023-03-12 08:15:17","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1200,100, 22A10,,no,,,no
16584,"Aerosoles Acuario-Grangier","2023-03-12 08:16:02","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1200,100, 21A10,,no,,,no
16585,"Aerosoles Acuario-Grangier","2023-03-12 08:16:35","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1080,90, 22A11,,no,,,no
16586,"Aerosoles Acuario-Grangier","2023-03-12 08:16:57","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1200,100, 22A12,,no,,,no
16587,"Aerosoles Acuario-Grangier","2023-03-12 08:17:00","30 - JOSE LUIS LEDEZMA",si,AA75905,"AEROSOL ACUARIO PRIMER GRIS 400 ML.",17501476275904,12,1200,100, 22F26,"Cantidad: de: 14400 a: 100, 
NOTA: Cambiar de 1200 cajas a 100 cajas por favor",si,,,no
16588,"Aerosoles Acuario-Grangier","2023-03-12 08:17:22","35 - ISAU ROSALES MARTINEZ",si,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",17501476275003,12,1200,100, 21A11,,no,,,no
16589,"Aerosoles Acuario-Grangier","2023-03-12 08:17:39","30 - JOSE LUIS LEDEZMA",si,AA75905,"AEROSOL ACUARIO PRIMER GRIS 400 ML.",17501476275904,12,1200,100, 22F27,,no,,,no
