id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16872,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:28:33","27 - Jesús Víctor Gil",si,EV21705,"ESMALTE TECNOBRIL MARFIL 500 ML.",17501476221758,9,162,18, 10C74,,no,,,no
16873,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:29:01","27 - Jesús Víctor Gil",si,EV21740,"ESMALTE TECNOBRIL MARFIL 4 L.",17501476221741,2,34,17, 10B74,,no,,,no
16874,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:29:22","27 - Jesús Víctor Gil",si,EV21702,"ESMALTE TECNOBRIL MARFIL 250 ML.",17501476221727,9,117,13, 9B74,,no,,,no
16875,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:29:40","27 - Jesús Víctor Gil",si,EV21302,"ESMALTE TECNOBRIL VERDE BOSQUE 250 ML.",17501476221321,9,207,23, 9B73,,no,,,no
16876,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:30:23","27 - Jesús Víctor Gil",si,EV21340,"ESMALTE TECNOBRIL VERDE BOSQUE 4 L.",17501476221345,2,2,1, 10B73,,no,,,no
16877,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:30:52","27 - Jesús Víctor Gil",si,EV21710,"ESMALTE TECNOBRIL MARFIL 1 L.",17501476221710,6,18,3, 9A74,,no,,,no
16878,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:31:16","27 - Jesús Víctor Gil",si,EV21310,"ESMALTE TECNOBRIL VERDE BOSQUE 1 L.",17501476221314,6,318,53, 9A73,,no,,,no
16879,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:31:33","27 - Jesús Víctor Gil",si,EV21390,"ESMALTE TECNOBRIL VERDE BOSQUE 19 L.",7501476221393,1,8,8, 10A73,,no,,,no
16880,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:33:01","27 - Jesús Víctor Gil",si,EV2139004,"ESMALTE VERDE GUNDERSON TC 19 L.",7501476203870,1,36,36, 10F73,,no,,,no
16881,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:33:23","27 - Jesús Víctor Gil",si,EV2139004,"ESMALTE VERDE GUNDERSON TC 19 L.",7501476203870,1,32,32, 9F73,,no,,,no
16882,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:33:41","27 - Jesús Víctor Gil",si,EV2139004,"ESMALTE VERDE GUNDERSON TC 19 L.",7501476203870,1,36,36, 10F72,,no,,,no
16883,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:34:21","27 - Jesús Víctor Gil",si,EV2139004,"ESMALTE VERDE GUNDERSON TC 19 L.",7501476203870,1,29,29, 9F72,,no,,,no
16884,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:35:01","27 - Jesús Víctor Gil",si,EV2089002,"ESMALTE ROJO TC 250 ML.",7501476203771,1,12,12, 10F71,,no,,,no
16885,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:35:25","27 - Jesús Víctor Gil",si,EV21290,"ESMALTE TECNOBRIL AMARILLO LIMON 19 L.",7501476221294,1,31,31, 10D72,,no,,,no
16886,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:35:46","27 - Jesús Víctor Gil",si,EV21205,"ESMALTE TECNOBRIL AMARILLO LIMON 500 ML.",17501476221253,9,189,21, 10C72,,no,,,no
16887,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:36:05","27 - Jesús Víctor Gil",si,EV21005,"ESMALTE TECNOBRIL NARANJA 500 ML.",17501476221055,9,135,15, 10C71,,no,,,no
16888,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:36:29","27 - Jesús Víctor Gil",si,EV21240,"ESMALTE TECNOBRIL AMARILLO LIMON 4 L.",17501476221246,2,16,8, 10B72,,no,,,no
16889,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:36:44","27 - Jesús Víctor Gil",si,EV21040,"ESMALTE TECNOBRIL NARANJA 4 L.",17501476221048,2,24,12, 10B71,,no,,,no
16890,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:37:04","27 - Jesús Víctor Gil",si,EV21202,"ESMALTE TECNOBRIL AMARILLO LIMON 250 ML.",17501476221222,9,153,17, 9B72,,no,,,no
16891,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:38:04","27 - Jesús Víctor Gil",si,EV21002,"ESMALTE TECNOBRIL NARANJA 250 ML.",17501476221024,6,120,20, 9B71,,no,,,no
16892,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:38:46","27 - Jesús Víctor Gil",si,EV21290,"ESMALTE TECNOBRIL AMARILLO LIMON 19 L.",7501476221294,1,13,13, 10A72,,no,,,no
