id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
17024,Inv.Tecnobrill,"2023-03-26 07:37:57","35 - ISAU ROSALES MARTINEZ",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,27,27, 10A58,,no,,,no
17025,Inv.Tecnobrill,"2023-03-26 07:38:42","35 - ISAU ROSALES MARTINEZ",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,36,36, 9A58,,no,,,no
17026,Inv.Tecnobrill,"2023-03-26 07:39:26","35 - ISAU ROSALES MARTINEZ",si,EV20010,"ESMALTE TECNOBRIL BLANCO 1 L.",17501476220010,6,114,19, 10A59,,no,,,no
17027,Inv.Tecnobrill,"2023-03-26 07:40:16","35 - ISAU ROSALES MARTINEZ",si,EV20010,"ESMALTE TECNOBRIL BLANCO 1 L.",17501476220010,6,630,105, 9A59,,no,,,no
17028,Inv.Tecnobrill,"2023-03-26 07:41:00","35 - ISAU ROSALES MARTINEZ",si,EV20040,"ESMALTE TECNOBRIL BLANCO 4 L.",17501476220041,2,148,74, 9A60,,no,,,no
17029,Inv.Tecnobrill,"2023-03-26 07:41:34","35 - ISAU ROSALES MARTINEZ",si,EV20040,"ESMALTE TECNOBRIL BLANCO 4 L.",17501476220041,2,68,34, 10A60,,no,,,no
17030,Inv.Tecnobrill,"2023-03-26 07:42:16","35 - ISAU ROSALES MARTINEZ",si,EV20190,"ESMALTE TECNOBRIL NEGRO 19 L.",7501476220198,1,25,25, 10A62,,no,,,no
17031,Inv.Tecnobrill,"2023-03-26 07:43:20","35 - ISAU ROSALES MARTINEZ",si,EV20102,"ESMALTE TECNOBRIL NEGRO 250 ML.",17501476220126,9,495,55, 10A64,,no,,,no
17032,Inv.Tecnobrill,"2023-03-26 07:44:57","35 - ISAU ROSALES MARTINEZ",si,EV20390,"ESMALTE TECNOBRIL AZUL FUERTE 19 L.",7501476220396,1,25,25, 10A66,,no,,,no
17033,Inv.Tecnobrill,"2023-03-26 07:45:40","35 - ISAU ROSALES MARTINEZ",si,EV20310,"ESMALTE TECNOBRIL AZUL FUERTE 1 L.",17501476220317,6,432,72, 9A66,,no,,,no
