id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
23377893,2484,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,28318,545.45,30,16363.5,0%,,,
23377893,2484,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22574,1271.97,10,12719.7,0%,,,
23377893,2484,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22572,1271.97,20,25439.4,0%,,,
23377894,2484,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,10666,1634,1,1634,0%,,,
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,1316,40,120,4800,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,21242,27.27,60,1636.2,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,21346,27.27,420,11453.4,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,21349,105.94,240,25425.6,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,21350,52.34,120,6280.8,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,21351,27.27,240,6544.8,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,29901,86,60,5160,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,29902,313,12,3756,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,29905,313,6,1878,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,29914,86,18,1548,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,29917,86,30,2580,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,29920,86,12,1032,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22756,29.65,18,533.7,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,2056,91.43,42,3840.06,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,2057,91.43,42,3840.06,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22791,29.65,36,1067.4,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377897,3065,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22796,48.18,36,1734.48,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
23377906,25477,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,23220,1111.53,4,4446.12,0%,19911,,"Método de envío: AUTOTRANSPORTE DE CARGA EL DUERO,  NOTA: SURTIR AL 100%"
23377906,25477,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22603,830.7,10,8307,0%,19911,,"Método de envío: AUTOTRANSPORTE DE CARGA EL DUERO,  NOTA: SURTIR AL 100%"
23377906,25477,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22371,1546.14,1,1546.14,0%,19911,,"Método de envío: AUTOTRANSPORTE DE CARGA EL DUERO,  NOTA: SURTIR AL 100%"
23377906,25477,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,22377,1546.14,1,1546.14,0%,19911,,"Método de envío: AUTOTRANSPORTE DE CARGA EL DUERO,  NOTA: SURTIR AL 100%"
23377906,25477,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,21884,1909.12,1,1909.12,0%,19911,,"Método de envío: AUTOTRANSPORTE DE CARGA EL DUERO,  NOTA: SURTIR AL 100%"
23377906,25477,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,21901,1909.12,1,1909.12,0%,19911,,"Método de envío: AUTOTRANSPORTE DE CARGA EL DUERO,  NOTA: SURTIR AL 100%"
23377907,25921,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,23396,759.19,6,4555.14,0%,19999,,"Método de envío: TRANSPORTES LINDO MICHOACAN,  NOTA: SURTIR AL 100 %
NOTA
MANDAR A CARRETERA ZITACUARO HUETAMO"
23377907,25921,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",07.03.2023,23109,173.83,4,695.32,0%,19999,,"Método de envío: TRANSPORTES LINDO MICHOACAN,  NOTA: SURTIR AL 100 %
NOTA
MANDAR A CARRETERA ZITACUARO HUETAMO"
