id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1334,31,456,14136,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1336,31,900,27900,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1332,31,360,11160,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1305,31,456,14136,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1322,31,120,3720,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1314,31,456,14136,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1288,32.5,120,3900,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158108,2533,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1256,31,120,3720,0%,,,",  NOTA: o.c. 1035 precio Goray"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23494,379.6,20,7592,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23299,1529.59,10,15295.9,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23112,855.31,10,8553.1,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,28318,545.45,20,10909,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23220,1111.53,1,1111.53,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1737,117.6,6,705.6,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,21882,432.43,2,864.86,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,22327,351.82,10,3518.2,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,22421,1546.14,1,1546.14,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,22335,1546.14,2,3092.28,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,22381,1546.14,6,9276.84,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,1957,97.83,6,586.98,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158120,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,22370,351.82,2,703.64,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158121,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,2214,66.89,6,401.34,0%,19970,,"Método de envío: SIN TRANSPORTE"
233158122,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,24001,451.55,2,903.1,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: En las partidas de Rojo Oxido el cliente esta solicitando solo 1 galon pero en el portal no me deja modificarlo y pata el catalizador en vez de mandar 6 que es lo que me deja capturar el portal solo hay que mandar 5 galones"
233158122,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,24003,451.55,2,903.1,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: En las partidas de Rojo Oxido el cliente esta solicitando solo 1 galon pero en el portal no me deja modificarlo y pata el catalizador en vez de mandar 6 que es lo que me deja capturar el portal solo hay que mandar 5 galones"
233158122,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,24007,451.55,6,2709.3,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: En las partidas de Rojo Oxido el cliente esta solicitando solo 1 galon pero en el portal no me deja modificarlo y pata el catalizador en vez de mandar 6 que es lo que me deja capturar el portal solo hay que mandar 5 galones"
233158122,3206,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23996,451.55,2,903.1,0%,19970,,"Método de envío: SIN TRANSPORTE,  NOTA: En las partidas de Rojo Oxido el cliente esta solicitando solo 1 galon pero en el portal no me deja modificarlo y pata el catalizador en vez de mandar 6 que es lo que me deja capturar el portal solo hay que mandar 5 galones"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23422,174,2,348,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23417,174,2,348,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23455,174,2,348,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23448,174,2,348,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23419,174,2,348,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23450,174,2,348,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23590,155.56,2,311.12,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
233158123,25046,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",15.03.2023,23600,155.56,2,311.12,0%,19956,,"Método de envío: NUESTRO CONDUCTO,  NOTA: ENVIAR A TIENDA ACAMBAY"
