id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
233168157,1959,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23061,933.38,4,3733.52,0%,,,",  NOTA: PEDIDO MUY NURGENTE

1/2"
233168158,1959,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,1585,59.03,48,2833.44,0%,,,",  NOTA: PEDIDO 2/2"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23396,759.19,2,1518.38,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23556,618.94,2,1237.88,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23587,618.94,1,618.94,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23575,618.94,1,618.94,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23404,759.19,1,759.19,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,22603,830.7,1,830.7,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,22595,330,1,330,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,21873,432.43,2,864.86,0%,19955,,"Método de envío: MORENO NAVA"
233168159,1908,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23431,174,2,348,0%,19955,,"Método de envío: MORENO NAVA"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23396,759.19,1,759.19,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23451,759.19,2,1518.38,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23183,1111.53,1,1111.53,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23299,1529.59,1,1529.59,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23556,618.94,3,1856.82,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23494,379.6,5,1898,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23112,855.31,1,855.31,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23111,695.42,1,695.42,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,22574,1271.97,1,1271.97,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23431,174,2,348,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23461,174,2,348,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23109,173.83,2,347.66,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23156,256.5,2,513,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
233168160,26644,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",16.03.2023,23555,155.56,2,311.12,0%,,,",  NOTA: AGREGAR LO SIGUIENTE: 
PLASTIC-1/19 BLANCO, 1/19 AMARILLO LIMON

Facturar al 50% lo siguiente:
7MVA100-5
7MVA01-5
7MVA1000-5
7MVA400-10
7MVA900-10
7MVA800-10
7MEA300-5
7MEA600-5
7MEA200-10
7MAA760-10
7MMM900-5"
