id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
233258330,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,1259,53.38,12,640.56,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258330,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,1314,35.57,12,426.84,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258330,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,1330,35.57,12,426.84,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258330,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,1336,35.57,24,853.68,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258330,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,1263,35.57,12,426.84,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258330,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,1316,53.38,12,640.56,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258331,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,22593,120.89,6,725.34,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258331,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,22591,457.72,8,3661.76,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258331,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,22594,457.72,10,4577.2,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
233258332,26610,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",25.03.2023,23111,695.42,2,1390.84,0%,19905,,"Método de envío: AUTOCARGA EXP.TUXTEPEC,  NOTA: Entregar en Cosamaloapan, Veracruz. - Boulevard Nicolas Bravo #501, esquina Melchor Ocampo, atrás del hospital regional. Colonia Centro CP. 95400"
