id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
233278352,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,22574,1527.17,10,15271.7,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278352,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,22605,1276.04,10,12760.4,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,1953,115.29,6,691.74,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,22414,41.46,9,373.14,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,1954,115.29,6,691.74,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,1969,115.29,6,691.74,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,2279,62.04,6,372.24,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,23396,911.52,7,6380.64,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,23521,455.77,2,911.54,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,23520,103.82,4,415.28,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278353,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,23109,204.84,4,819.36,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278354,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,10746,43,10,430,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278354,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,10674,14,20,280,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
233278354,10366,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",27.03.2023,10697,14,20,280,0%,19956,,"Método de envío: NUESTRO CONDUCTO"
