id,code,description,base_price,base_discount,preferential_price,preferential_discount,price_list_id,,article_id,price,discount
1148,AA73105,"AEROSOL ACUARIO CHOCOLATE 400 ML.",35.57,0,31,0,3,,1148,31,0
1248,AA73205,"AEROSOL ACUARIO PLATINO 400 ML.",59.03,0,47.5,0,3,,1248,47.5,0
1249,AA73305,"AEROSOL ACUARIO 24 KILATES 400 ML.",59.03,0,47.5,0,3,,1249,47.5,0
1250,AA73405,"AEROSOL ACUARIO ROJO PRIMARIO 400 ML.",35.57,0,31,0,3,,1250,31,0
1252,AA73805,"AEROSOL ACUARIO ROJO TOMATE 400 ML.",35.57,0,31,0,3,,1252,31,0
1254,AA74005,"AEROSOL ACUARIO GRIS 400 ML.",35.57,0,31,0,3,,1254,31,0
1256,AA74505,"AEROSOL ACUARIO AZUL ESPANOL 400 ML.",35.57,0,31,0,3,,1256,31,0
1258,AA74605,"AEROSOL ACUARIO ALTA TEMPERATURA NEGRO 400 ML.",53.38,0,43.5,0,3,,1258,43.5,0
1259,AA74705,"AEROSOL ACUARIO ALTA TEMPERATURA ALUMINIO 400 ML.",53.38,0,43.5,0,3,,1259,43.5,0
1261,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",35.57,0,31,0,3,,1261,31,0
1263,AA75105,"AEROSOL ACUARIO NEGRO SEMIMATE 400 ML.",35.57,0,31,0,3,,1263,31,0
1265,AA75205,"AEROSOL ACUARIO VIOLETA 400 ML.",35.57,0,31,0,3,,1265,31,0
1266,AA75305,"AEROSOL ACUARIO ROSA MEXICANO 400 ML.",35.57,0,31,0,3,,1266,31,0
1268,AA75405,"AEROSOL ACUARIO ROJO OXIDO 400 ML.",35.57,0,31,0,3,,1268,31,0
1270,AA75505,"AEROSOL ACUARIO AMARILLO FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1270,32.5,0
1272,AA75605,"AEROSOL ACUARIO AMARILLO LIMON 400 ML.",35.57,0,31,0,3,,1272,31,0
1274,AA75705,"AEROSOL ACUARIO VERDE FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1274,32.5,0
1276,AA75905,"AEROSOL ACUARIO PRIMER GRIS 400 ML.",35.57,0,31,0,3,,1276,31,0
1278,AA76005,"AEROSOL ACUARIO GRIS ACERO 400 ML.",35.57,0,31,0,3,,1278,31,0
1280,AA76105,"AEROSOL ACUARIO AMARILLO CATERPILAR 400 ML.",35.57,0,31,0,3,,1280,31,0
1282,AA76205,"AEROSOL ACUARIO CREMA 400 ML.",35.57,0,31,0,3,,1282,31,0
1284,AA76305,"AEROSOL ACUARIO NARANJA FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1284,32.5,0
1286,AA76405,"AEROSOL ACUARIO NARANJA 400 ML.",35.57,0,31,0,3,,1286,31,0
1288,AA76505,"AEROSOL ACUARIO ROSA FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1288,32.5,0
1290,AA77005,"AEROSOL ACUARIO AZUL CIELO 400 ML.",35.57,0,31,0,3,,1290,31,0
1292,AA77105,"AEROSOL ACUARIO AZUL FORD 400 ML.",35.57,0,31,0,3,,1292,31,0
1294,AA77205,"AEROSOL ACUARIO VERDE ECOLOGICO 400 ML.",35.57,0,31,0,3,,1294,31,0
1296,AA77405,"AEROSOL ACUARIO ULTRA ROJO METALICO 400 ML.",35.57,0,31,0,3,,1296,31,0
1298,AA77505,"AEROSOL ACUARIO CAFE 400 ML.",35.57,0,31,0,3,,1298,31,0
1300,AA77605,"AEROSOL ACUARIO BERMELLON 400 ML.",35.57,0,31,0,3,,1300,31,0
1302,AA77705,"AEROSOL ACUARIO ROJO METALICO 400 ML.",35.57,0,31,0,3,,1302,31,0
1303,AA77805,"AEROSOL ACUARIO AMARILLO CROMO 400 ML.",35.57,0,31,0,3,,1303,31,0
1305,AA77905,"AEROSOL ACUARIO AZUL METALICO 400 ML.",35.57,0,31,0,3,,1305,31,0
1308,AA78105,"AEROSOL ACUARIO VERDE METALICO 400 ML.",35.57,0,31,0,3,,1308,31,0
1310,AA78205,"AEROSOL ACUARIO AZUL REY 400 ML.",35.57,0,31,0,3,,1310,31,0
1312,AA78305,"AEROSOL ACUARIO COBRE 400 ML.",53.38,0,43.5,0,3,,1312,43.5,0
1314,AA78405,"AEROSOL ACUARIO ALUMINIO 400 ML.",35.57,0,31,0,3,,1314,31,0
1316,AA78605,"AEROSOL ACUARIO ORO RICO METALICO 400 ML.",53.38,0,43.5,0,3,,1316,43.5,0
1319,AA78805,"AEROSOL ACUARIO VERDE BOSQUE 400 ML.",35.57,0,31,0,3,,1319,31,0
28410,AA78905,"AEROSOL ACUARIO BEIGE COOLER",45.53,0,31,0,3,,28410,31,0
1322,AA79105,"AEROSOL ACUARIO AZUL ACUARIO 400 ML.",35.57,0,31,0,3,,1322,31,0
1324,AA79205,"AEROSOL ACUARIO TIPO CROMO 400 ML.",53.38,0,43.5,0,3,,1324,43.5,0
1326,AA79305,"AEROSOL ACUARIO ORO PALIDO 400 ML.",53.38,0,43.5,0,3,,1326,43.5,0
1328,AA79405,"AEROSOL ACUARIO NEGRO METALICO 400 ML.",35.57,0,31,0,3,,1328,31,0
1330,AA79605,"AEROSOL ACUARIO BLANCO MATE 400 ML.",35.57,0,31,0,3,,1330,31,0
1332,AA79705,"AEROSOL ACUARIO NEGRO MATE 400 ML.",35.57,0,31,0,3,,1332,31,0
1334,AA79805,"AEROSOL ACUARIO TRANSPARENTE 400 ML.",35.57,0,31,0,3,,1334,31,0
1336,AA79905,"AEROSOL ACUARIO NEGRO BRILLANTE 400 ML.",35.57,0,31,0,3,,1336,31,0
1455,AM80005,"SPRAY MASTER BLANCO 400 ML.",35.57,0,31,0,3,,1455,31,0
1456,AM80105,"SPRAY MASTER BLANCO MATE 400 ML.",35.57,0,31,0,3,,1456,31,0
1457,AM80205,"SPRAY MASTER NEGRO 400 ML.",35.57,0,31,0,3,,1457,31,0
1458,AM80305,"SPRAY MASTER NEGRO MATE 400 ML.",35.57,0,31,0,3,,1458,31,0
1459,AM80405,"SPRAY MASTER VIOLETA 400 ML.",35.57,0,31,0,3,,1459,31,0
1460,AM80505,"SPRAY MASTER BERMELLON 400 ML.",35.57,0,31,0,3,,1460,31,0
1461,AM80705,"SPRAY MASTER ORO PALIDO 400 ML.",53.38,0,43.5,0,3,,1461,43.5,0
1462,AM80805,"SPRAY MASTER ALUMINIO 400 ML.",35.57,0,31,0,3,,1462,31,0
1463,AM80905,"SPRAY MASTER AZUL HOLANDES 400 ML.",35.57,0,31,0,3,,1463,31,0
1464,AM81005,"SPRAY MASTER TRANSPARENTE 400 ML.",35.57,0,31,0,3,,1464,31,0
1465,AM81105,"SPRAY MASTER AZUL METALICO 400 ML.",35.57,0,31,0,3,,1465,31,0
1466,AM81405,"SPRAY MASTER ORO RICO 400 ML.",53.38,0,43.5,0,3,,1466,43.5,0
1467,AM81505,"SPRAY MASTER TIPO CROMO 400 ML.",53.38,0,43.5,0,3,,1467,43.5,0
1468,AM81605,"SPRAY MASTER PRIMER GRIS 400 ML.",35.57,0,31,0,3,,1468,31,0
1469,AM81805,"SPRAY MASTER AMARILLO LIMON 400 ML.",35.57,0,31,0,3,,1469,31,0
19621,AM81905,"SPRAY MASTER ROJO METALICO 400 ML",35.57,0,31,0,3,,19621,31,0
1470,AM82005,"SPRAY MASTER CREMA 400 ML.",35.57,0,31,0,3,,1470,31,0
19622,AM82105,"SPRAY MASTER VERDE JOHN DEERE 400 ML",35.57,0,31,0,3,,19622,31,0
1471,AM82205,"SPRAY MASTER AMARILLO CROMO 400 ML.",35.57,0,31,0,3,,1471,31,0
1472,AM82305,"SPRAY MASTER VERDE BOSQUE 400 ML.",35.57,0,31,0,3,,1472,31,0
1473,AM82405,"SPRAY MASTER NARANJA 400 ML.",35.57,0,31,0,3,,1473,31,0
1474,AM82505,"SPRAY MASTER GRIS MAQUINARIA 400 ML.",35.57,0,31,0,3,,1474,31,0
1475,AM82705,"SPRAY MASTER TABACO 400 ML.",35.57,0,31,0,3,,1475,31,0
1476,AM82805,"SPRAY MASTER VERDE ECOLOGICO 400 ML.",35.57,0,31,0,3,,1476,31,0
28411,AM83005,"SPRAY MASTER PRIMARIO  ROJO 400 ML",45.53,0,31,0,3,,28411,31,0
19039,AM84205,"SPRAY MASTER COBRE 400 ML",53.38,0,43.5,0,3,,19039,43.5,0
19623,AM84305,"SPRAY MASTER ROJO OXIDO 400 ML",35.57,0,31,0,3,,19623,31,0
1478,AM84505,"SPRAY MASTER AZUL ESPA OL 400 ML.",35.57,0,31,0,3,,1478,31,0
1479,AM84605,"SPRAY MASTER ROJO TOMATE 400 ML.",35.57,0,31,0,3,,1479,31,0
1480,AM84805,"SPRAY MASTER ALTA TEMPERATURA NEGRO 400 ML.",53.38,0,43.5,0,3,,1480,43.5,0
28412,AM85005,"SPRAY MASTER VERDE GARDEN 400 ML",45.53,0,31,0,3,,28412,31,0
1481,AM85105,"SPRAY MASTER NEGRO SATINADO 400 ML.",35.57,0,31,0,3,,1481,31,0
28413,AM85205,"SPRAY MASTER VERDE OLEO 400 ML",45.53,0,31,0,3,,28413,31,0
1482,AM85305,"SPRAY MASTER ROSA MEXICANO 400 ML.",35.57,0,31,0,3,,1482,31,0
28414,AM85405,"SPRAY MASTER VINO TINTO 400 ML",45.53,0,31,0,3,,28414,31,0
1483,AM85505,"SPRAY MASTER AMARILLO FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1483,32.5,0
1484,AM85605,"SPRAY MASTER GRIS 400 ML.",35.57,0,31,0,3,,1484,31,0
1485,AM85705,"SPRAY MASTER VERDE FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1485,32.5,0
1486,AM86105,"SPRAY MASTER AMARILLO CATERPILLAR 400 ML.",35.57,0,31,0,3,,1486,31,0
1487,AM86305,"SPRAY MASTER NARANJA FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1487,32.5,0
1488,AM86505,"SPRAY MASTER ROSA FLOURESCENTE 400 ML.",36.84,0,32.5,0,3,,1488,32.5,0
1489,AM87105,"SPRAY MASTER AZUL FORD 400 ML.",35.57,0,31,0,3,,1489,31,0
1490,AM87605,"SPRAY MASTER CHOCOLATE 400 ML.",35.57,0,31,0,3,,1490,31,0
