id,code,description,base_price,base_discount,preferential_price,preferential_discount,price_list_id,,article_id,price,discount
1148,AA73105,"AEROSOL ACUARIO CHOCOLATE 400 ML.",35.57,0,48.43,0,25,,1148,48.43,0
1252,AA73805,"AEROSOL ACUARIO ROJO TOMATE 400 ML.",35.57,0,48.43,0,25,,1252,48.43,0
1254,AA74005,"AEROSOL ACUARIO GRIS 400 ML.",35.57,0,48.43,0,25,,1254,48.43,0
1256,AA74505,"AEROSOL ACUARIO AZUL ESPANOL 400 ML.",35.57,0,48.43,0,25,,1256,48.43,0
1258,AA74605,"AEROSOL ACUARIO ALTA TEMPERATURA NEGRO 400 ML.",53.38,0,72.69,0,25,,1258,72.69,0
1261,AA75005,"AEROSOL ACUARIO BLANCO BRILLANTE 400 ML.",35.57,0,48.43,0,25,,1261,48.43,0
1263,AA75105,"AEROSOL ACUARIO NEGRO SEMIMATE 400 ML.",35.57,0,48.43,0,25,,1263,48.43,0
1265,AA75205,"AEROSOL ACUARIO VIOLETA 400 ML.",35.57,0,48.43,0,25,,1265,48.43,0
1266,AA75305,"AEROSOL ACUARIO ROSA MEXICANO 400 ML.",35.57,0,48.43,0,25,,1266,48.43,0
1268,AA75405,"AEROSOL ACUARIO ROJO OXIDO 400 ML.",35.57,0,48.43,0,25,,1268,48.43,0
1270,AA75505,"AEROSOL ACUARIO AMARILLO FLOURESCENTE 400 ML.",36.84,0,50.17,0,25,,1270,50.17,0
1272,AA75605,"AEROSOL ACUARIO AMARILLO LIMON 400 ML.",35.57,0,48.43,0,25,,1272,48.43,0
1274,AA75705,"AEROSOL ACUARIO VERDE FLOURESCENTE 400 ML.",36.84,0,50.17,0,25,,1274,50.17,0
1276,AA75905,"AEROSOL ACUARIO PRIMER GRIS 400 ML.",35.57,0,48.43,0,25,,1276,48.43,0
1278,AA76005,"AEROSOL ACUARIO GRIS ACERO 400 ML.",35.57,0,48.43,0,25,,1278,48.43,0
1280,AA76105,"AEROSOL ACUARIO AMARILLO CATERPILAR 400 ML.",35.57,0,48.43,0,25,,1280,48.43,0
1282,AA76205,"AEROSOL ACUARIO CREMA 400 ML.",35.57,0,48.43,0,25,,1282,48.43,0
1284,AA76305,"AEROSOL ACUARIO NARANJA FLOURESCENTE 400 ML.",36.84,0,50.17,0,25,,1284,50.17,0
1286,AA76405,"AEROSOL ACUARIO NARANJA 400 ML.",35.57,0,48.43,0,25,,1286,48.43,0
1288,AA76505,"AEROSOL ACUARIO ROSA FLOURESCENTE 400 ML.",36.84,0,50.17,0,25,,1288,50.17,0
1290,AA77005,"AEROSOL ACUARIO AZUL CIELO 400 ML.",35.57,0,48.43,0,25,,1290,48.43,0
1292,AA77105,"AEROSOL ACUARIO AZUL FORD 400 ML.",35.57,0,48.43,0,25,,1292,48.43,0
1294,AA77205,"AEROSOL ACUARIO VERDE ECOLOGICO 400 ML.",35.57,0,48.43,0,25,,1294,48.43,0
1296,AA77405,"AEROSOL ACUARIO ULTRA ROJO METALICO 400 ML.",35.57,0,48.43,0,25,,1296,48.43,0
